energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0037.root,10000,831,811,877,432,388,416,348,0.0831,0.0811,0.0877,0.0348
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0038.root,10000,1246,1145,1260,682,617,641,569,0.1246,0.1145,0.126,0.0569
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0039.root,10000,1207,1171,1266,659,608,648,560,0.1207,0.1171,0.1266,0.056
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0040.root,10000,1241,1189,1228,693,632,653,577,0.1241,0.1189,0.1228,0.0577
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0041.root,10000,1193,1140,1241,675,603,620,548,0.1193,0.114,0.1241,0.0548
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0042.root,10000,1223,1210,1232,685,612,645,558,0.1223,0.121,0.1232,0.0558
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0043.root,10000,1254,1152,1218,672,587,615,538,0.1254,0.1152,0.1218,0.0538
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0044.root,10000,214,234,306,43,41,50,38,0.0214,0.0234,0.0306,0.0038
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0045.root,10000,1220,1166,1209,670,595,641,547,0.122,0.1166,0.1209,0.0547
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0046.root,10000,1229,1144,1211,687,609,640,566,0.1229,0.1144,0.1211,0.0566
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0047.root,10000,1228,1127,1192,656,604,627,555,0.1228,0.1127,0.1192,0.0555
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0048.root,10000,1220,1207,1224,677,603,646,559,0.122,0.1207,0.1224,0.0559
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0049.root,10000,1183,1121,1208,681,598,634,558,0.1183,0.1121,0.1208,0.0558
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0050.root,10000,1205,1181,1238,693,606,646,555,0.1205,0.1181,0.1238,0.0555
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0051.root,10000,1243,1149,1217,660,598,638,552,0.1243,0.1149,0.1217,0.0552
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0052.root,10000,1232,1154,1157,682,598,625,550,0.1232,0.1154,0.1157,0.055
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0053.root,10000,1227,1148,1190,652,574,634,542,0.1227,0.1148,0.119,0.0542
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0054.root,10000,703,688,781,373,346,366,319,0.0703,0.0688,0.0781,0.0319
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0055.root,10000,372,397,440,144,126,149,119,0.0372,0.0397,0.044,0.0119
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0056.root,10000,1171,1123,1231,648,575,633,534,0.1171,0.1123,0.1231,0.0534
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0057.root,10000,1255,1122,1295,691,630,645,574,0.1255,0.1122,0.1295,0.0574
