energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0043.root,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0044.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0045.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0046.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0047.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0048.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0049.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0050.root,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0051.root,1,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0052.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0053.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0054.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0055.root,1,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0056.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0057.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
