energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0037.root,1000000,109847,103923,112324,59521,53568,56744,49138,0.109847,0.103923,0.112324,0.049138
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0038.root,1000000,109395,103566,111214,59007,53273,56376,48923,0.109395,0.103566,0.111214,0.048923
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0039.root,1000000,109291,103426,110902,58971,53032,56181,48717,0.109291,0.103426,0.110902,0.048717
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0040.root,1000000,109803,104549,111995,59730,53835,56859,49360,0.109803,0.104549,0.111995,0.04936
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0041.root,1000000,108605,103286,111007,59181,53146,56314,48711,0.108605,0.103286,0.111007,0.048711
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0042.root,1000000,109195,104624,112040,59910,53839,57011,49543,0.109195,0.104624,0.11204,0.049543
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0043.root,1000000,109828,104644,111714,59708,53694,56874,49357,0.109828,0.104644,0.111714,0.049357
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0044.root,1000000,108910,103719,110997,59152,53161,56637,48927,0.10891,0.103719,0.110997,0.048927
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0045.root,1000000,109377,104508,112445,59586,53757,57085,49305,0.109377,0.104508,0.112445,0.049305
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0046.root,1000000,110052,105039,112318,60124,54016,57201,49658,0.110052,0.105039,0.112318,0.049658
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0047.root,1000000,109832,105097,113046,59914,54036,57537,49612,0.109832,0.105097,0.113046,0.049612
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0048.root,1000000,109057,104500,112313,59490,53498,57050,49247,0.109057,0.1045,0.112313,0.049247
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0049.root,1000000,109062,104251,111507,59656,53443,56612,49092,0.109062,0.104251,0.111507,0.049092
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0050.root,1000000,109874,104058,111887,59638,53821,56821,49307,0.109874,0.104058,0.111887,0.049307
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0051.root,1000000,109868,104582,112582,59800,53815,57128,49455,0.109868,0.104582,0.112582,0.049455
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0052.root,1000000,109599,104563,111790,59760,53763,57152,49450,0.109599,0.104563,0.11179,0.04945
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0053.root,1000000,110365,105103,112058,60052,54062,57333,49679,0.110365,0.105103,0.112058,0.049679
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0054.root,1000000,109861,105090,112423,59972,54046,57435,49730,0.109861,0.10509,0.112423,0.04973
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0055.root,1000000,109767,104550,111889,59608,53836,57227,49432,0.109767,0.10455,0.111889,0.049432
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0056.root,1000000,109753,104444,111991,59789,53724,57040,49318,0.109753,0.104444,0.111991,0.049318
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0057.root,1000000,109843,104016,111586,59727,53755,56854,49401,0.109843,0.104016,0.111586,0.049401
